,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
20,Pink Floyd,eerie,Discovery,/album/discovery-mw0002185066,"I want to tell you a story
About a little man
If I can
A gnome named Grimble Crumble
And little gnomes stay in their homes
Eating, sleeping, drinking their wine

He wore a scarlet tunic
A blue green hood
It looked quite good
He had a big adventure
Amidst the grass
Fresh air at last
Wining, dining, biding his time
And then one day, hooray!
Another way for gnomes to say
Ooomray

Look at the sky, look at the river
Isn't it good?
Look at the sky, look at the river
Isn't it good?
Winding, finding places to go
And then one day, hooray!
Another way for gnomes to say
Ooomray
Ooomray",/lyric/1530792/Pink+Floyd/The+Gnome,['Pop/Rock'],2:13,"['druggy', 'eerie', 'hypnotic', 'ominous', 'trippy', 'literate', 'rousing', 'spacey']",The Gnome,https://www.allmusic.com/song/the-gnome-mt0042079264
21,Pink Floyd,eerie,Discovery,/album/discovery-mw0002185066,"A movement is accomplished in six stages
And the seventh brings return
The seven is the number of the young light
It forms when darkness is increased by one
Change returns success
Going and coming without error
Action brings good fortune
Sunset

The time is with the month of winter solstice
When the change is due to come
Thunder in the other course of heaven
Things cannot be destroyed once and for all
Change returns success
Going and coming without error
Action brings good fortune
Sunset, sunrise

A movement is accomplished in six stages
And the seventh brings return
The seven is the number of the young light
It forms when darkness is increased by one
Change returns success
Going and coming without error
Action brings good fortune
Sunset, sunrise, sunrise, sunset",/lyric/343392/Pink+Floyd/Chapter+24,"['Pop/Rock', 'International']",3:42,"['druggy', 'eerie', 'hypnotic', 'ominous', 'trippy', 'literate', 'rousing', 'spacey']",Chapter 24,https://www.allmusic.com/song/chapter-24-mt0042079265
22,Pink Floyd,eerie,Discovery,/album/discovery-mw0002185066,"Far, far, far away, way 
People heard him say, say 
I will find a way, way 
There will come a day, day 
Something will be done. 

Then at last the mighty ship 
Descending on a point of flame 
Made contact with the human race 
And melted hearts 

Now, now, now is the time, time 
Time to be, be, be aware 

Carter's father saw him there and 
Knew the road revealed to him 
The living soul of 

Oh, my, something in my eye, eye 
Something in the sky, sky 
Waiting there for me 

The outer lock rolled slowly back 
The service men were heard to sigh 
For there revealed in glowing robes 
Was Lucy in the sky 

Oh, oh, did you ever know, know 
Never ever will they 
I cannot say 

Something in his cosmic art 
And glowing slightly from his toes 
The psychic and the nations fly",/lyric/1530916/Pink+Floyd/Let+There+Be+More+Light,['Pop/Rock'],5:38,"['druggy', 'eerie', 'hypnotic', 'ominous', 'trippy', 'literate', 'rousing', 'spacey']",Let There Be More Light,https://www.allmusic.com/song/let-there-be-more-light-mt0042079268
23,Pink Floyd,eerie,Discovery,/album/discovery-mw0002185066,"Little by little the night turns around. 
Counting the leaves which tremble and turn. 
Lotus's lean on each other in union. 
Over the hills where a swallow is resting. 
Set the controls for the heart of the sun.

Over the mountain watching the watcher. 
Breaking the darkness waking the grapevine. 
Morning to birth is born into shadow 
Love is the shadow that ripens the wine. 
Set the controls for the heart of the sun. 
The heart of the sun, the heart of the sun. 

Who is the man who arrives at the wall? 
Making the shape of his questions at asking. 
Thinking the sun will fall in the evening. 
Will he remember the lesson of giving? 
Set the controls for the heart of the sun. 
The heart of the sun, the heart of the sun.",/lyric/1530683/Pink+Floyd/Set+the+Controls+for+the+Heart+of+the+Sun,['Pop/Rock'],5:27,"['hypnotic', 'nocturnal', 'eerie', 'ominous', 'atmospheric', 'detached', 'literate', 'plaintive']",Set the Controls for the Heart of the Sun,https://www.allmusic.com/song/set-the-controls-for-the-heart-of-the-sun-mt0042079270
24,Pink Floyd,eerie,Discovery,/album/discovery-mw0002185066,"Marigolds are very much in love, but he doesn’t mind
Picking up his sister, he makes his way into the seas or land
All the way
She smiles

She goes up while he goes down, down

Sits on a stick in the river
Laughter in his sleep
Sister’s throwing stones, hoping for a hit
He doesn’t know so then

She goes up while he goes down, down

Another time, ah
Another day, ah
A brother’s way to leave
Another time, ah
Another day, ah

She’ll be selling plastic flowers on a Sunday afternoon
Picking up weeds, she hasn’t got the time to care
All can see he’s not there

She grows up for another man, and he’s down

Another time, ah, another day, ah
A brother’s way to leave
Another time, ah, another day
Another time, ah, another day, ah
A brother’s way to leave",/lyric/1530921/Pink+Floyd/See-Saw,['Pop/Rock'],4:36,"['druggy', 'eerie', 'hypnotic', 'ominous', 'trippy', 'literate', 'rousing', 'spacey']",See-Saw,https://www.allmusic.com/song/see-saw-mt0042079273
25,Pink Floyd,eerie,Discovery,/album/discovery-mw0002185066,"It's awfully considerate of you to think of me here 
And I'm much obliged to you for making it clear 
That I'm not here. 
And I never knew we could be so thick 
And I never knew the moon could be so blue 
And I'm grateful that you threw away my old shoes 
And brought me here instead dressed in red 
And I'm wondering who could be writing this song. 

I don't care if the sun don't shine 
And I don't care if nothing is mine 
And I don't care if I'm nervous with you 
I'll do my loving in the winter. 

And the sea isn't green 
And I love the queen 
And what exactly is a dream 
And what exactly is a joke.",/lyric/1530922/Pink+Floyd/Jugband+Blues,['Pop/Rock'],3:00,"['druggy', 'eerie', 'hypnotic', 'ominous', 'trippy', 'literate', 'rousing', 'spacey']",Jugband Blues,https://www.allmusic.com/song/jugband-blues-mt0042079274
26,Pink Floyd,eerie,Discovery,/album/discovery-mw0002185066,"I was standing by the Nile 
When I saw the lady smile 
I would take her out for a while 
For a while

Oh, my tears wept like a child 
How her golden hair was blowing wild
Then she spread her wings to fly
For to fly

Soaring high above the breezes
Going always where she pleases 
She will make it to the islands in the sun

I will follow in her shadow 
As I watch her from my window
One day I will catch her eye

She is calling from the deep
Summoning my soul to endless sleep 
She is bound to drag me down
Drag me down",/lyric/1530580/Pink+Floyd/The+Nile+Song,['Pop/Rock'],3:26,"['druggy', 'eerie', 'hypnotic', 'ominous', 'trippy', 'rousing', 'detached', 'dramatic']",The Nile Song,https://www.allmusic.com/song/the-nile-song-mt0042079276
27,Pink Floyd,eerie,Discovery,/album/discovery-mw0002185066,"I'm so afraid of the mistakes that I made 
Taking every time that I wake 
I feel like a hard-boiled and cut-up man 
So give me a time when the countries 
Will lie on the storyline if kind 

Are days are made since the first page 
I've lived every line that you wrote 
Take me down, take me down, from the shelf above your head 
So give me a time when the countries 
Will lie on the storyline if kind 

And if I live on the shelf like the rest 
And if love bleeds like a sad song 
Please pick-up your camera and use me again 
So give me a time when the countries 
Will lie on the storyline if kind, yeah",/lyric/1530777/Pink+Floyd/Ibiza+Bar,['Pop/Rock'],3:19,"['druggy', 'eerie', 'hypnotic', 'ominous', 'trippy', 'rousing', 'detached', 'dramatic']",Ibiza Bar,https://www.allmusic.com/song/ibiza-bar-mt0042079283
28,Pink Floyd,eerie,Discovery,/album/discovery-mw0002185066,"Pass the tequila, Manuel
(glug, snort)
Listen, gringo, laugh at my lisp and I kill you
I think
This Spanish music 
It sets my soul on fire 
Lovely seniorita 
Your eyes are like stars 
Your teeth are like pearls 
Your ruby lips",/lyric/1530780/Pink+Floyd/A+Spanish+Piece,['Pop/Rock'],1:05,"['druggy', 'eerie', 'hypnotic', 'ominous', 'trippy', 'rousing', 'detached', 'dramatic']",A Spanish Piece,https://www.allmusic.com/song/a-spanish-piece-mt0042079286
29,Pink Floyd,eerie,Discovery,/album/discovery-mw0002185066,"Lime and limpid green, a second scene
Now fights between the blue you once knew
Floating down, the sound resounds
Around the icy waters underground
Jupiter and Saturn, Oberon, Miranda and Titania
Neptune, Titan, stars can frighten

Blinding signs flap,
Flicker, flicker, flicker blam, pow, pow
Stairway scare, Dan Dare, who's there?

Lime and limpid green, the sounds around
The icy waters under
Lime and limpid green, the sounds around
The icy waters underground",/lyric/12201151/Pink+Floyd/Astronomy+Domine+%5BStereo%5D%5BMix%5D,['Pop/Rock'],8:32,"['druggy', 'eerie', 'spacey', 'hypnotic', 'ominous', 'trippy', 'literate', 'rousing']",Astronomy Domine,https://www.allmusic.com/song/astronomy-domine-mt0042079288
